,Unit,Turn,B4,B2
0,Good morning. How are you doing today?,0,0,20180904-045349_715_live
1,Hi. I am doing good. How about you?,0,1,20180904-045349_715_live
2,I'm doing pretty good for a Tuesday morning. ,1,0,20180904-045349_715_live
3,"Haha. Same here, but it really feels like a Monday.",1,1,20180904-045349_715_live
4,Ugh yes it does!,2,0,20180904-045349_715_live
5,I can not believe how warm it is already.,2,1,20180904-045349_715_live
6,Where are you from? ,3,0,20180904-045349_715_live
7,I am from the Midwest. What about you?,3,1,20180904-045349_715_live
8,I'm from the South East. It's always warm here. ,4,0,20180904-045349_715_live
9,"Oh, yep. You are definitely in for warm weather, which is great as far as I am concerned.",4,1,20180904-045349_715_live
10,We're about to get hit by a tropical storm.,5,0,20180904-045349_715_live
11,I heard that some bad weather was going to be coming. I hope it is not too severe.,5,1,20180904-045349_715_live
12,Me too. It's just part of living on the Gulf. You have to be prepared for it.,6,0,20180904-045349_715_live
13,"Yes, I am sure you get a lot of storms.",6,1,20180904-045349_715_live
14,We do. I guess I should get into what this chat is supposed to be about. Have you heard of the Charity Save The Children?,7,0,20180904-045349_715_live
15,I have heard about them. What do you like about them?,7,1,20180904-045349_715_live
16,I like that they're committed to helping children in need. They're very transparent in their work and do great things to help children in underprivileged countries. ,8,0,20180904-045349_715_live
17,"Yes, I also like what they do. They are a great organization.",8,1,20180904-045349_715_live
18,I'm planning on donating most of my earnings today. Would you like to donate as well?,9,0,20180904-045349_715_live
19,I would like to dotate $0.20. Would that help?,9,1,20180904-045349_715_live
20,Yes it would. Any little bit helps. Thank you for your donation!,10,0,20180904-045349_715_live
0,Good Evening,0,0,20180904-154250_98_live
1,Hello there. how are you?,0,1,20180904-154250_98_live
2,I am doing well! How are doing today?,1,0,20180904-154250_98_live
3,I am doing pretty well. thanks for asking!,1,1,20180904-154250_98_live
4,I'd like to tell you about a great program I am working on!  Have you ever heard of Save the Children?,2,0,20180904-154250_98_live
